,rendered_character,stroke_gif_complexity
1302,怪,
1303,硬,
1304,隶,
1305,抻,
1306,惹,
1307,莺,
1308,颧,
1309,钢,
1310,喊,
1311,妖,
1312,鳌,
1313,泅,
1314,怖,
1315,砣,
1316,糟,
1317,收,
1318,涮,
1319,崩,
1320,苦,
1321,瘸,
1322,坤,
1323,痧,
1324,拄,
1325,掟,
1326,侨,
1327,渝,
1328,揉,
1329,酥,
1330,涝,
1331,捣,
1332,桖,
1333,轰,
1334,捻,
1335,洞,
1336,恰,
1337,袜,
1338,羸,
1339,秀,
1340,擎,
1341,惊,
1342,枉,
1343,谈,
1344,蠢,
1345,微,
1346,肮,
1347,偎,
1348,凛,
1349,谗,
1350,磷,
1351,瑞,
1352,酬,
1353,披,56.0
1354,投,50.0
1355,陌,
1356,施,
1357,痰,
1358,除,
1359,巩,
1360,疯,59.0
1361,儒,89.0
1362,飙,92.0
1363,粟,66.0
1364,爆,101.0
1365,腮,77.0
1366,殃,55.0
1367,狼,76.0
1368,湿,71.0
1369,劣,40.0
1370,该,53.0
1371,炕,49.0
1372,怒,55.0
1373,寥,81.0
1374,嚷,130.0
1375,碗,70.0
1376,殒,79.0
1377,斟,73.0
1378,贯,62.0
1379,醛,78.0
1380,棒,80.0
1381,芭,60.0
1382,澎,64.0
1383,荐,58.0
1384,邹,46.0
1385,钳,
1386,颁,
1387,样,
1388,模,
1389,疱,
1390,键,
1391,锻,
1392,搬,
1393,茬,
1394,蕾,
1395,热,
1396,剪,
1397,砌,
1398,锦,
1399,澡,
1400,锗,
1401,佗,
1402,蓄,
1403,悟,
1404,痔,
1405,噎,
1406,轻,66.0
1407,撒,82.0
1408,屠,90.0
1409,悯,70.0
1410,腱,75.0
1411,独,65.0
1412,闺,
1413,茨,
1414,端,
1415,砖,
1416,糕,82.0
1417,茂,50.0
1418,币,34.0
1419,装,68.0
1420,修,
1421,址,
1422,杯,
1423,僻,
1424,镬,
1425,囗,
1426,碴,
1427,锄,
1428,堤,
1429,泱,
1430,哨,
1431,挫,
1432,霜,
1433,嘎,87.0
1434,咔,54.0
1435,匆,
1436,淇,
1437,罕,
1438,钜,
1439,仍,
1440,咲,
1441,璐,
1442,广,
1443,涨,
1444,薄,
1445,稿,
1446,喽,
1447,桂,
1448,嗙,
1449,辆,
1450,强,
1451,缴,
1452,呗,53.0
1453,殖,73.0
1454,祇,
1455,洁,57.0
1456,魂,90.0
1457,酿,92.0
1458,桩,68.0
1459,蒂,77.0
1460,波,63.0
1461,棍,78.0
1462,杰,43.0
1463,匠,44.0
1464,另,39.0
1465,眠,
1466,俏,
1467,笛,
1468,设,
1469,掺,
1470,纲,
1471,挟,
1472,抹,
1473,挺,
1474,攒,
1475,饿,
1476,憎,
1477,瞟,
1478,穴,
1479,却,
1480,壑,
1481,寰,
1482,略,
1483,蛙,
1484,避,
1485,钙,
1486,踱,86.0
1487,决,41.0
1488,烦,80.0
1489,邱,51.0
1490,坎,40.0
1491,傻,
1492,练,
1493,邢,
1494,芦,
1495,肴,
1496,鸦,
1497,跌,
1498,籍,
1499,剿,
1500,猩,
1501,唔,
1502,把,
1503,嘲,
1504,诊,
1505,愕,
1506,钚,
1507,豁,85.0
1508,讶,45.0
1509,揭,80.0
1510,携,85.0
1511,樘,
1512,凳,78.0
1513,乖,46.0
1514,莓,70.0
1515,涌,72.0
1516,辱,75.0
1517,盲,57.0
1518,胎,59.0
1519,撸,74.0
1520,冷,41.0
1521,摔,70.0
1522,黛,94.0
1523,哑,50.0
1524,昵,61.0
1525,幕,78.0
1526,玻,61.0
1527,擒,90.0
1528,她,51.0
1529,押,57.0
1530,撅,81.0
1531,系,47.0
1532,患,
1533,辑,
1534,交,
1535,著,
1536,狡,
1537,货,
1538,呀,
1539,茵,
1540,阉,
1541,渎,
1542,碰,
1543,肚,
1544,泌,
1545,皓,
1546,纬,
1547,铐,
1548,犯,43.0
1549,填,83.0
1550,拆,53.0
1551,灿,41.0
1552,窜,72.0
1553,澳,87.0
1554,坑,45.0
1555,辄,70.0
1556,屏,60.0
1557,奚,70.0
1558,桉,
1559,奄,
1560,莹,
1561,拦,
1562,姐,
1563,耽,
1564,粥,
1565,翩,
1566,捡,
1567,催,
1568,驾,
1569,掌,
1570,邬,
1571,嗟,
1572,材,45.0
1573,惦,64.0
1574,喉,74.0
1575,钒,47.0
1576,嫁,65.0
1577,四,40.0
1578,防,46.0
1579,局,57.0
1580,爹,66.0
1581,霉,87.0
1582,墙,78.0
1583,潜,83.0
1584,迎,52.0
1585,妞,51.0
1586,屁,51.0
1587,嘤,85.0
1588,胚,53.0
1589,撩,95.0
1590,鹤,88.0
1591,坚,51.0
1592,熨,85.0
1593,派,
1594,晾,
1595,颖,
1596,遥,
1597,枯,
1598,畅,
1599,亿,
1600,蚌,
1601,饶,
1602,穹,
1603,俚,
1604,荤,
1605,际,
1606,计,32.0
1607,宏,43.0
1608,唵,
1609,括,59.0
1610,苺,
1611,靥,
1612,零,65.0
1613,表,51.0
1614,帽,80.0
1615,瘟,68.0
1616,几,20.0
1617,怎,50.0
1618,喏,
1619,杉,45.0
1620,欸,
1621,佐,45.0
1622,紧,68.0
1623,嗖,70.0
1624,锕,
1625,馁,70.0
1626,渣,73.0
1627,鹳,120.0
1628,歼,45.0
1629,运,47.0
1630,祺,68.0
1631,焗,
1632,靶,77.0
1633,脯,70.0
1634,刊,35.0
1635,犟,106.0
1636,扁,62.0
1637,漱,82.0
1638,躁,111.0
1639,双,32.0
1640,确,80.0
1641,蛟,69.0
1642,跪,66.0
1643,掐,68.0
1644,瞻,97.0
1645,拓,53.0
1646,膛,82.0
1647,壤,107.0
1648,楼,81.0
1649,绯,63.0
1650,贫,
1651,掰,
1652,褶,
1653,驴,
1654,琢,
1655,坠,
1656,呛,
1657,蜗,
1658,掴,
1659,氽,
1660,架,
1661,覆,
1662,纨,
1663,铅,
1664,当,40.0
1665,咬,47.0
1666,芹,47.0
1667,枪,54.0
1668,霓,85.0
1669,奥,70.0
1670,嫌,90.0
1671,畸,83.0
1672,姣,50.0
1673,芬,55.0
1674,抿,66.0
1675,式,38.0
1676,笙,63.0
1677,悲,75.0
1678,岔,49.0
1679,卧,61.0
1680,房,57.0
1681,蛀,61.0
1682,搂,71.0
1683,刺,57.0
1684,喔,64.0
1685,沟,41.0
1686,倭,71.0
1687,哬,
1688,擢,
1689,窥,82.0
1690,数,78.0
1691,纱,48.0
1692,余,45.0
1693,欺,66.0
1694,浑,55.0
1695,情,66.0
1696,佯,43.0
1697,诠,59.0
1698,倩,
1699,吆,
1700,笺,
1701,飘,
1702,改,
1703,抢,
1704,躺,
1705,呲,
1706,啐,
1707,废,57.0
1708,凹,42.0
1709,摘,92.0
1710,详,53.0
1711,裤,80.0
1712,搀,69.0
1713,查,63.0
1714,捅,68.0
1715,栎,61.0
1716,馅,57.0
1717,馆,70.0
1718,锣,81.0
1719,访,42.0
1720,胆,56.0
1721,絮,75.0
1722,幅,80.0
1723,獭,84.0
1724,秸,68.0
1725,缓,72.0
1726,倘,66.0
1727,韶,84.0
1728,迫,48.0
1729,挨,68.0
1730,浣,60.0
1731,珠,77.0
1732,瓣,102.0
1733,插,71.0
1734,擤,
1735,悄,67.0
1736,菅,70.0
1737,毒,65.0
1738,瞿,93.0
1739,拨,56.0
1740,嚯,
1741,掀,65.0
1742,掷,65.0
1743,恢,55.0
1744,彩,72.0
1745,炆,
1746,艺,37.0
1747,鹾,
1748,肿,51.0
1749,伍,41.0
1750,钮,61.0
1751,据,66.0
1752,骗,76.0
1753,现,57.0
1754,欣,64.0
1755,银,70.0
1756,琦,80.0
1757,镶,100.0
1758,幂,
1759,搁,70.0
1760,瞌,80.0
1761,噱,103.0
1762,碎,78.0
1763,磁,78.0
1764,写,49.0
1765,劈,83.0
1766,漫,78.0
