character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
零,ling2,Seal,pictophonetic,345.91115712179004,hzy,S08488,零 (ling2)
雷,lei2,Bronze,pictosynthetic,499.5619081444283,hzy,B15863,雷 (lei2)
雷,lei2,Oracle,pictosynthetic,216.318682178953,hzy,J25046,雷 (lei2)
雾,wu4,Seal,pictophonetic,380.2271737648831,hzy,S08513,雾 (wu4)
需,xu1,Bronze,pictosynthetic,224.44691924892766,hzy,B15918,需 (xu1)
需,xu1,Seal,pictosynthetic,325.0068652972499,hzy,S08521,需 (xu1)
霄,xiao1,Seal,pictophonetic,326.6406405804579,hzy,S08481,霄 (xiao1)
震,zhen4,Seal,pictophonetic,375.2483146957838,hzy,S08478,震 (zhen4)
霉,mei2,Seal,pictophonetic,457.9209142019173,hzy,S07428,霉 (mei2)
霓,ni2,Seal,other,371.1050341693452,hzy,S08517,霓 (ni2)
霜,shuang1,Oracle,pictophonetic,267.11079103088593,hzy,J25093,霜 (shuang1)
霜,shuang1,Seal,pictophonetic,399.3088964925181,hzy,S08512,霜 (shuang1)
霞,xia2,Seal,pictophonetic,387.427812374485,hzy,S08523,霞 (xia2)
露,lu4,Seal,pictophonetic,403.1812880992804,hzy,S08511,露 (lu4)
霸,ba4,Bronze,other,304.91733639467697,hzy,B10439,霸 (ba4)
霸,ba4,Seal,other,393.4456772713687,hzy,S04919,霸 (ba4)
霾,mai2,Oracle,pictophonetic,255.00484620728844,hzy,J25095,霾 (mai2)
霾,mai2,Seal,pictophonetic,436.1020839661717,hzy,S08515,霾 (mai2)
青,qing1,Bronze,pictosynthetic,240.4404795634029,hzy,B07735,青 (qing1)
青,qing1,Seal,pictosynthetic,238.02329279673432,hzy,S03660,青 (qing1)
靓,liang4,Seal,pictophonetic,348.4447820376784,hzy,S06262,靓 (liang4)
靖,jing4,Seal,pictophonetic,311.9640673663836,hzy,S07561,靖 (jing4)
静,jing4,Bronze,pictophonetic,288.67090432508087,hzy,B07737,静 (jing4)
非,fei1,Bronze,pictographic,238.59684873095935,hzy,B16029,非 (fei1)
非,fei1,Seal,pictographic,262.85743160092,hzy,S08659,非 (fei1)
靠,kao4,Seal,pictophonetic,313.8789313407092,hzy,S08662,靠 (kao4)
靡,mi2,Seal,pictophonetic,353.8061027911152,hzy,S08661,靡 (mi2)
面,mian4,Oracle,pictographic,235.54256440120042,hzy,J21013,面 (mian4)
面,mian4,Seal,pictographic,374.78342325179153,hzy,S06463,面 (mian4)
靥,ye4,Seal,pictophonetic,510.4947641006473,hzy,S06468,靥 (ye4)
革,ge2,Bronze,pictographic,271.4328742831838,hzy,B03516,革 (ge2)
革,ge2,Seal,pictographic,255.94123925438024,hzy,S02014,革 (ge2)
靴,xue1,Seal,pictophonetic,397.5987826225947,hzy,S02086,靴 (xue1)
靶,ba3,Seal,pictophonetic,288.62816944648165,hzy,S02054,靶 (ba3)
鞋,xie2,Seal,pictophonetic,398.13208320870353,hzy,S02034,鞋 (xie2)
鞠,ju1,Seal,pictophonetic,396.3096415651749,hzy,S02036,鞠 (ju1)
鞭,bian1,Bronze,pictophonetic,265.79879322030314,hzy,B03555,鞭 (bian1)
鞭,bian1,Seal,pictophonetic,476.8005349593549,hzy,S02078,鞭 (bian1)
韦,wei2,Bronze,other,185.62814400499371,hzy,B08514,韦 (wei2)
韦,wei2,Oracle,other,224.7120103287334,hzy,J14093,韦 (wei2)
韦,wei2,Seal,other,232.4392482143776,hzy,S03910,韦 (wei2)
韧,ren4,Seal,pictophonetic,305.1755649213347,hzy,S03931,韧 (ren4)
韩,han2,Bronze,pictophonetic,235.152046870999,hzy,B08515,韩 (han2)
韩,han2,Seal,pictophonetic,345.2611071599016,hzy,S03930,韩 (han2)
音,yin1,Seal,pictosynthetic,329.2821153016733,hzy,S01943,音 (yin1)
韵,yun4,Seal,pictophonetic,388.2651324431473,hzy,S01949,韵 (yun4)
韶,shao2,Seal,pictophonetic,384.3320624967122,hzy,S01946,韶 (shao2)
页,ye4,Bronze,pictographic,210.8258052590154,hzy,B13616,页 (ye4)
页,ye4,Oracle,pictographic,202.0735534330154,hzy,J21000,页 (ye4)
页,ye4,Seal,pictographic,283.36004144300546,hzy,S06360,页 (ye4)
顶,ding3,Bronze,pictophonetic,270.8007160529334,hzy,B13631,顶 (ding3)
顶,ding3,Seal,pictophonetic,311.8385709216876,hzy,S06370,顶 (ding3)
顷,qing3,Seal,pictosynthetic,373.9839834626362,hzy,S05937,顷 (qing3)
项,xiang4,Seal,pictophonetic,290.8639901763996,hzy,S06386,项 (xiang4)
顺,shun4,Bronze,pictosynthetic,312.55096513365726,hzy,B13650,顺 (shun4)
顺,shun4,Seal,pictosynthetic,392.5471810074035,hzy,S06418,顺 (shun4)
须,xu1,Bronze,pictosynthetic,284.7417911945203,hzy,B13849,须 (xu1)
须,xu1,Oracle,pictosynthetic,156.1474006367504,hzy,J21015,须 (xu1)
须,xu1,Seal,pictosynthetic,324.12832987742684,hzy,S06476,须 (xu1)
顽,wan2,Seal,pictophonetic,360.1290384893824,hzy,S06407,顽 (wan2)
顾,gu4,Bronze,other,334.3710945228648,hzy,B13648,顾 (gu4)
顾,gu4,Seal,other,412.584057862054,hzy,S06417,顾 (gu4)
顿,dun4,Seal,pictophonetic,338.9703903781969,hzy,S06424,顿 (dun4)
颁,ban1,Seal,pictophonetic,361.4490726387273,hzy,S06396,颁 (ban1)
颂,song4,Bronze,pictophonetic,275.9127777323663,hzy,B13624,颂 (song4)
颂,song4,Seal,pictophonetic,339.3419633476817,hzy,S06364,颂 (song4)
预,yu4,Seal,pictophonetic,382.0703123144431,hzy,S06460,预 (yu4)
领,ling3,Seal,pictophonetic,351.2857675144498,hzy,S06385,领 (ling3)
颇,po1,Seal,pictophonetic,379.7116019331803,hzy,S06443,颇 (po1)
颈,jing3,Seal,other,349.48862480200785,hzy,S06384,颈 (jing3)
颊,jia2,Seal,pictophonetic,392.84604839050303,hzy,S06379,颊 (jia2)
颐,yi2,Bronze,other,247.53322002222544,hzy,B16283,颐 (yi2)
颐,yi2,Seal,other,424.09399125603466,hzy,S08807,颐 (yi2)
颓,tui2,Seal,pictosynthetic,396.8994383627749,hzy,S06221,颓 (tui2)
颖,ying3,Seal,pictophonetic,384.3220154463204,hzy,S05031,颖 (ying3)
颗,ke1,Seal,pictophonetic,427.2125115807096,hzy,S06409,颗 (ke1)
题,ti2,Seal,pictophonetic,395.7681248986398,hzy,S06374,题 (ti2)
颜,yan2,Bronze,pictophonetic,294.36986637631946,hzy,B13618,颜 (yan2)
颜,yan2,Seal,pictophonetic,367.31266047704,hzy,S06362,颜 (yan2)
额,e2,Seal,pictophonetic,383.536203706374,hzy,S06375,额 (e2)
颠,dian1,Seal,pictophonetic,387.1485810702909,hzy,S06369,颠 (dian1)
颤,chan4,Seal,pictophonetic,406.1215711347114,hzy,S06446,颤 (chan4)
风,feng1,Oracle,pictophonetic,260.27615056259435,hzy,J28057,风 (feng1)
风,feng1,Seal,pictophonetic,285.37542329330785,hzy,S10079,风 (feng1)
飙,biao1,Seal,pictosynthetic,315.32912053019925,hzy,S10083,飙 (biao1)
飞,fei1,Oracle,pictographic,186.09360697276827,hzy,J25389,飞 (fei1)
飞,fei1,Seal,pictographic,272.5994953946187,hzy,S08656,飞 (fei1)
食,shi2,Bronze,pictosynthetic,223.7877305072098,hzy,B07905,食 (shi2)
食,shi2,Oracle,pictosynthetic,221.28356410826024,hzy,J12814,食 (shi2)
食,shi2,Seal,pictosynthetic,253.51399726397813,hzy,S03681,食 (shi2)
飨,xiang3,Bronze,pictophonetic,367.5857490631971,hzy,B07989,飨 (xiang3)
飨,xiang3,Oracle,pictophonetic,345.97185361927893,hzy,J12833,飨 (xiang3)
飨,xiang3,Seal,pictophonetic,403.0667152053855,hzy,S03724,飨 (xiang3)
餐,can1,Seal,pictophonetic,312.13037724011014,hzy,S03717,餐 (can1)
饕,tao1,Bronze,pictophonetic,248.04860023921827,hzy,B07990,饕 (tao1)
饕,tao1,Seal,pictophonetic,373.08528417031,hzy,S03743,饕 (tao1)
饥,ji1,Seal,pictophonetic,321.55185219833066,hzy,S03754,饥 (ji1)
饭,fan4,Bronze,pictophonetic,308.2690909404882,hzy,B07941,饭 (fan4)
饭,fan4,Seal,pictophonetic,368.5910336469552,hzy,S03708,饭 (fan4)
饰,shi4,Seal,pictophonetic,380.9596465970956,hzy,S05596,饰 (shi4)
饱,bao3,Seal,pictophonetic,386.078339357468,hzy,S03733,饱 (bao3)
饲,si4,Bronze,pictophonetic,278.87375339256954,hzy,B07964,饲 (si4)
