,rendered_character,simplified_character,period,image_id,dataset,distinctiveness,nearest neighbours,period_stream
135,儿,儿,Bronze,B13462,hzy,131.59336079805502,"['见', '君', '得', '奚', '毕', '邑', '旦', '子', '牛', '自']",Oracle
136,须,须,Bronze,B13850,hzy,127.0342554775647,"['永', '安', '唯', '犬', '裘', '午', '厂', '育', '齐', '官']",Oracle
137,辰,辰,Bronze,B21153,hzy,121.34681760929492,"['鸟', '直', '武', '向', '裘', '宋', '句', '西', '盂', '后']",Oracle
138,在,在,Bronze,B18708,hzy,102.58818824606963,"['士', '井', '林', '木', '生', '朱', '止', '位', '中', '出']",Oracle
139,射,射,Bronze,B08157,hzy,113.61874770548108,"['奴', '巾', '人', '母', '仲', '西', '甲', '井', '休', '视']",Oracle
140,句,句,Bronze,B02827,hzy,108.63024455754068,"['君', '向', '父', '司', '贝', '同', '省', '合', '伯', '足']",Oracle
141,基,基,Bronze,B18698,hzy,137.8732998071659,"['侄', '马', '羽', '受', '尽', '虞', '听', '始', '问', '美']",Oracle
142,奴,奴,Bronze,B16988,hzy,110.60504703177212,"['井', '友', '射', '人', '丑', '叔', '弗', '休', '尹', '且']",Oracle
143,乐,乐,Bronze,B08724,hzy,121.71892738396755,"['星', '幽', '单', '飨', '卿', '涉', '吴', '异', '孙', '一']",Oracle
144,徐,徐,Bronze,B02383,hzy,137.67072525469666,"['姜', '齐', '秦', '裘', '唯', '帝', '犬', '午', '祥', '队']",Oracle
145,衍,衍,Bronze,B15553,hzy,136.90101241153607,"['黍', '涉', '沈', '龟', '楚', '祥', '葬', '束', '兵', '上']",Oracle
146,鹿,鹿,Bronze,B14721,hzy,128.44911911529462,"['解', '春', '礼', '受', '陆', '喜', '彭', '虞', '育', '诺']",Oracle
147,子,子,Bronze,B20842,hzy,100.7868888138616,"['邑', '足', '兄', '不', '至', '又', '旦', '千', '辛', '帛']",Oracle
148,曰,曰,Bronze,B06977,hzy,106.38232200340272,"['止', '卅', '山', '贝', '自', '少', '父', '伯', '出', '乍']",Oracle
149,唐,唐,Bronze,B01602,hzy,119.21945366730807,"['庚', '商', '东', '及', '季', '何', '鸟', '麦', '吉', '责']",Oracle
150,葬,葬,Bronze,B00838,hzy,107.17964321260884,"['伐', '休', '队', '北', '邦', '上', '友', '敏', '午', '廿']",Oracle
151,吹,吹,Bronze,B13588,hzy,111.61361481390176,"['征', '虎', '天', '鸟', '羞', '王', '承', '上', '名', '廿']",Oracle
152,尊,尊,Bronze,B21468,hzy,115.4682801950376,"['疆', '强', '口', '廿', '乙', '上', '会', '敏', '厂', '终']",Oracle
