participantid,condition,trialnum,character,rating,flip,controlscore
50,hwtrad,52,用,5,flip,5
50,hwtrad,53,虎,3,flip,5
50,hwtrad,54,眉,3,flip,5
50,hwtrad,55,车,4,noflip,5
51,hwtrad,1,老,4,noflip,5
51,hwtrad,2,夭,3,flip,5
51,hwtrad,3,工,1,noflip,5
51,hwtrad,4,川,2,flip,5
51,hwtrad,5,永,1,flip,5
51,hwtrad,6,尸,5,flip,5
51,hwtrad,7,寅,4,flip,5
51,hwtrad,8,子,1,noflip,5
51,hwtrad,9,丹,1,noflip,5
51,hwtrad,10,control_乇_七,3,flip,5
51,hwtrad,11,又,2,noflip,5
51,hwtrad,12,母,1,noflip,5
51,hwtrad,13,气,4,flip,5
51,hwtrad,14,文,1,noflip,5
51,hwtrad,15,它,0,noflip,5
51,hwtrad,16,克,1,noflip,5
51,hwtrad,17,而,3,noflip,5
51,hwtrad,18,丘,3,noflip,5
51,hwtrad,19,control_咫_只,4,flip,5
51,hwtrad,20,月,1,flip,5
51,hwtrad,21,弗,3,flip,5
51,hwtrad,22,土,3,noflip,5
51,hwtrad,23,止,1,noflip,5
51,hwtrad,24,米,4,flip,5
51,hwtrad,25,登,1,flip,5
51,hwtrad,26,禾,2,noflip,5
51,hwtrad,27,帝,4,flip,5
51,hwtrad,28,仓,4,noflip,5
51,hwtrad,29,蜀,5,noflip,5
51,hwtrad,30,网,5,noflip,5
51,hwtrad,31,不,4,flip,5
51,hwtrad,32,control_卡_上,5,flip,5
51,hwtrad,33,廾,4,flip,5
51,hwtrad,34,辰,1,flip,5
51,hwtrad,35,山,1,flip,5
51,hwtrad,36,角,5,noflip,5
51,hwtrad,37,周,5,noflip,5
51,hwtrad,38,矢,5,noflip,5
51,hwtrad,39,control_刓_元,4,flip,5
51,hwtrad,40,白,5,flip,5
51,hwtrad,41,贝,5,noflip,5
51,hwtrad,42,犬,1,noflip,5
51,hwtrad,43,曲,5,flip,5
51,hwtrad,44,杏,4,noflip,5
51,hwtrad,45,石,4,flip,5
51,hwtrad,46,以,2,noflip,5
